累計,,,,,,,
公司,年/月,季別,合併(Y/N),月份,幣別,資產總額,營業收入淨額
1216 統一,Mar-23,1,Y,3,NTD,"547,543,360","131,403,552"
1216 統一,Jun-23,2,Y,6,NTD,"646,100,882","268,802,050"
1216 統一,Sep-23,3,Y,9,NTD,"664,933,983","433,848,346"
1216 統一,Dec-23,4,Y,12,NTD,"665,879,318","581,102,935"
公司,年/月,季別,合併(Y/N),月份,幣別,資產總額,營業收入淨額
1217 愛之味,Mar-23,1,Y,3,NTD,"14,052,221","1,171,271"
1217 愛之味,Jun-23,2,Y,6,NTD,"14,235,568","2,330,846"
1217 愛之味,Sep-23,3,Y,9,NTD,"14,429,664","3,957,479"
1217 愛之味,Dec-23,4,Y,12,NTD,"14,021,710","4,900,038"
單季,,,,,,,
公司,年/月,季別,合併(Y/N),月份,幣別,資產總額,營業收入淨額
1216 統一,Mar-23,1,Y,Q,3,"547,543,360","131,403,552"
1216 統一,Jun-23,2,Y,Q,6,"646,100,882","137,398,498"
1216 統一,Sep-23,3,Y,Q,9,"664,933,983","165,046,296"
1216 統一,Dec-23,4,Y,Q,12,"665,879,318","147,254,589"
公司,年/月,季別,合併(Y/N),月份,幣別,資產總額,營業收入淨額
1217 愛之味,Mar-23,1,Y,Q,3,"14,052,221","1,171,271"
1217 愛之味,Jun-23,2,Y,Q,6,"14,235,568","1,159,575"
1217 愛之味,Sep-23,3,Y,Q,9,"14,429,664","1,626,633"
1217 愛之味,Dec-23,4,Y,Q,12,"14,021,710","942,559"
